Employee_ID,Date,Teams_Messages_Sent,Emails_Sent,Meetings_Attended,Work_Hours
EMP0334,2023-03-18,8,29,3,7.56
EMP0396,2023-03-19,8,22,4,4.06
EMP0472,2023-03-20,21,26,1,9.68
EMP0182,2023-03-21,32,28,1,6.44
EMP0223,2023-03-22,30,21,9,9.62
EMP0058,2023-03-23,45,13,8,5.32
EMP0180,2023-03-24,17,3,5,6.56
EMP0424,2023-03-25,43,17,8,4.69
EMP0020,2023-03-26,18,10,6,4.92
EMP0101,2023-03-27,33,9,5,8.58
EMP0339,2023-03-28,25,3,3,8.75
EMP0050,2023-03-29,27,12,0,8.28
EMP0453,2023-03-30,35,20,9,9.1
EMP0228,2023-03-31,21,19,2,9.65
EMP0076,2023-04-01,4,25,4,8.86
EMP0229,2023-04-02,2,13,8,4.03
EMP0043,2023-04-03,45,8,6,9.24
EMP0477,2023-04-04,40,14,0,8.31
EMP0286,2023-04-05,11,28,8,8.24
EMP0338,2023-04-06,3,17,4,7.26
EMP0250,2023-04-07,44,1,0,9.43
EMP0252,2023-04-08,43,27,7,8.08
EMP0249,2023-04-09,42,9,6,8.02
EMP0141,2023-04-10,0,16,4,4.17
EMP0229,2023-04-11,12,15,4,4.02
EMP0168,2023-04-12,32,18,0,5.4
EMP0500,2023-04-13,39,3,4,9.53
EMP0399,2023-04-14,18,7,8,5.67
EMP0149,2023-04-15,32,28,2,6.11
EMP0044,2023-04-16,1,1,0,7.46
EMP0020,2023-04-17,18,19,1,9.16
EMP0300,2023-04-18,10,27,2,8.09
EMP0105,2023-04-19,32,6,8,8.33
EMP0070,2023-04-20,48,23,0,6.23
EMP0478,2023-04-21,15,6,8,7.97
EMP0487,2023-04-22,27,11,0,5.45
EMP0141,2023-04-23,23,10,3,6.09
EMP0102,2023-04-24,32,10,8,4.64
EMP0207,2023-04-25,43,28,1,7.0
EMP0148,2023-04-26,38,4,1,4.56
EMP0466,2023-04-27,40,9,1,7.74
EMP0051,2023-04-28,7,6,4,7.66
EMP0071,2023-04-29,42,26,1,7.46
EMP0109,2023-04-30,14,21,1,7.56
EMP0428,2023-05-01,35,10,5,5.3
EMP0323,2023-05-02,5,25,5,8.26
EMP0384,2023-05-03,45,20,8,4.01
EMP0388,2023-05-04,18,14,4,8.69
EMP0319,2023-05-05,22,15,1,6.64
EMP0436,2023-05-06,33,3,0,8.87
EMP0184,2023-05-07,6,18,8,4.01
EMP0356,2023-05-08,4,4,4,5.79
EMP0373,2023-05-09,36,3,2,5.21
EMP0363,2023-05-10,25,0,1,8.37
EMP0166,2023-05-11,13,23,4,5.86
EMP0205,2023-05-12,9,29,5,5.35
EMP0112,2023-05-13,20,3,5,6.12
EMP0054,2023-05-14,32,22,5,5.43
EMP0265,2023-05-15,26,28,0,7.14
EMP0346,2023-05-16,13,29,0,8.82
EMP0173,2023-05-17,20,5,5,8.29
EMP0118,2023-05-18,9,24,7,4.94
EMP0260,2023-05-19,26,7,9,9.09
EMP0384,2023-05-20,47,13,9,4.15
EMP0272,2023-05-21,5,8,8,9.91
EMP0187,2023-05-22,32,22,8,9.14
EMP0270,2023-05-23,2,17,7,9.46
EMP0242,2023-05-24,12,3,0,8.64
EMP0203,2023-05-25,21,27,7,4.75
EMP0121,2023-05-26,23,15,5,8.87
EMP0355,2023-05-27,42,29,3,6.43
EMP0058,2023-05-28,27,10,5,5.53
EMP0146,2023-05-29,33,27,9,7.62
EMP0342,2023-05-30,24,4,5,5.94
EMP0424,2023-05-31,1,10,1,9.78
EMP0229,2023-06-01,0,27,8,6.44
EMP0392,2023-06-02,19,16,0,6.19
EMP0026,2023-06-03,26,29,9,5.81
EMP0478,2023-06-04,2,23,2,5.14
EMP0111,2023-06-05,13,9,0,8.21
EMP0403,2023-06-06,24,25,2,7.63
EMP0248,2023-06-07,45,0,2,6.26
EMP0068,2023-06-08,27,8,7,6.09
EMP0424,2023-06-09,12,28,5,9.5
EMP0445,2023-06-10,45,29,0,4.33
EMP0251,2023-06-11,22,26,7,4.1
EMP0090,2023-06-12,18,29,0,8.27
EMP0301,2023-06-13,0,8,6,5.64
EMP0140,2023-06-14,10,22,2,9.07
EMP0021,2023-06-15,42,8,5,4.43
EMP0084,2023-06-16,34,13,2,7.95
EMP0116,2023-06-17,31,6,8,8.87
EMP0111,2023-06-18,14,7,9,5.47
EMP0251,2023-06-19,47,28,0,7.18
EMP0142,2023-06-20,40,28,1,9.21
EMP0122,2023-06-21,6,13,6,4.74
EMP0229,2023-06-22,24,17,6,9.0
EMP0076,2023-06-23,49,10,2,6.28
EMP0312,2023-06-24,43,5,6,7.02
EMP0380,2023-06-25,37,7,7,7.99
EMP0304,2023-06-26,6,23,1,9.91
EMP0348,2023-06-27,43,5,5,6.44
EMP0447,2023-06-28,30,1,2,8.4
EMP0333,2023-06-29,37,3,2,8.44
EMP0397,2023-06-30,41,2,0,7.1
EMP0106,2023-07-01,30,16,8,7.36
EMP0222,2023-07-02,12,23,8,9.17
EMP0053,2023-07-03,18,7,2,5.79
EMP0416,2023-07-04,31,25,7,4.99
EMP0290,2023-07-05,25,18,4,8.69
EMP0316,2023-07-06,32,17,3,4.54
EMP0471,2023-07-07,27,19,6,5.14
EMP0458,2023-07-08,26,0,4,9.08
EMP0060,2023-07-09,10,11,1,7.26
EMP0276,2023-07-10,10,17,8,7.35
EMP0447,2023-07-11,26,20,5,6.67
EMP0350,2023-07-12,4,16,7,7.14
EMP0006,2023-07-13,46,17,5,5.5
EMP0428,2023-07-14,35,24,1,5.1
EMP0469,2023-07-15,12,23,0,7.12
EMP0190,2023-07-16,24,0,3,7.49
EMP0165,2023-07-17,37,15,5,4.56
EMP0251,2023-07-18,11,13,8,8.29
EMP0210,2023-07-19,19,28,1,5.33
EMP0295,2023-07-20,15,13,4,8.86
EMP0202,2023-07-21,25,8,1,5.64
EMP0400,2023-07-22,16,12,3,6.92
EMP0219,2023-07-23,21,28,3,9.72
EMP0369,2023-07-24,5,19,6,8.82
EMP0238,2023-07-25,23,14,1,5.52
EMP0184,2023-07-26,26,21,6,5.12
EMP0103,2023-07-27,31,4,5,6.82
EMP0089,2023-07-28,24,23,8,8.31
EMP0285,2023-07-29,13,15,5,5.18
EMP0172,2023-07-30,28,17,5,8.82
EMP0058,2023-07-31,33,9,2,8.65
EMP0081,2023-08-01,36,22,7,5.0
EMP0150,2023-08-02,38,27,8,8.19
EMP0428,2023-08-03,48,7,5,4.48
EMP0438,2023-08-04,35,17,7,8.45
EMP0119,2023-08-05,16,20,6,8.52
EMP0119,2023-08-06,22,28,1,8.23
EMP0458,2023-08-07,49,11,7,9.81
EMP0140,2023-08-08,18,5,8,8.89
EMP0341,2023-08-09,11,0,0,6.32
EMP0233,2023-08-10,38,7,3,6.68
EMP0380,2023-08-11,19,4,6,8.59
EMP0326,2023-08-12,27,7,1,8.27
EMP0040,2023-08-13,47,18,0,8.42
EMP0279,2023-08-14,5,25,8,6.25
EMP0005,2023-08-15,11,4,5,9.95
EMP0065,2023-08-16,40,19,1,9.25
EMP0377,2023-08-17,3,20,8,6.9
EMP0433,2023-08-18,20,24,9,9.83
EMP0365,2023-08-19,45,16,5,6.35
EMP0029,2023-08-20,37,29,3,8.19
EMP0482,2023-08-21,22,4,1,8.52
EMP0048,2023-08-22,30,8,0,8.7
EMP0026,2023-08-23,4,24,2,9.3
EMP0110,2023-08-24,29,17,3,6.67
EMP0490,2023-08-25,23,20,2,5.49
EMP0088,2023-08-26,49,19,6,6.81
EMP0221,2023-08-27,0,5,2,9.99
EMP0263,2023-08-28,41,28,0,5.25
EMP0041,2023-08-29,1,26,5,9.1
EMP0005,2023-08-30,16,28,7,4.8
EMP0137,2023-08-31,13,0,2,4.68
EMP0065,2023-09-01,36,18,0,5.41
EMP0292,2023-09-02,48,13,7,8.19
EMP0248,2023-09-03,42,25,9,8.87
EMP0342,2023-09-04,30,18,2,5.38
EMP0401,2023-09-05,31,9,2,9.24
EMP0221,2023-09-06,14,20,0,8.43
EMP0073,2023-09-07,35,1,7,6.63
EMP0091,2023-09-08,19,26,2,6.91
EMP0339,2023-09-09,46,25,5,9.18
EMP0073,2023-09-10,30,10,8,5.45
EMP0435,2023-09-11,16,14,3,4.08
EMP0165,2023-09-12,9,25,5,9.56
EMP0410,2023-09-13,34,18,4,4.47
EMP0032,2023-09-14,38,7,7,4.78
EMP0115,2023-09-15,7,8,6,7.72
EMP0463,2023-09-16,7,10,5,6.87
EMP0221,2023-09-17,32,25,4,6.92
EMP0081,2023-09-18,44,3,2,7.63
EMP0191,2023-09-19,17,24,1,8.85
EMP0133,2023-09-20,45,26,2,7.06
EMP0103,2023-09-21,46,22,0,5.37
EMP0179,2023-09-22,1,5,8,9.98
EMP0378,2023-09-23,11,7,1,9.29
EMP0070,2023-09-24,12,19,5,6.48
EMP0181,2023-09-25,4,19,4,9.65
EMP0097,2023-09-26,23,0,2,6.77
EMP0327,2023-09-27,15,22,2,7.31
EMP0477,2023-09-28,12,9,7,4.7
EMP0242,2023-09-29,11,20,5,5.43
EMP0172,2023-09-30,21,18,7,6.04
EMP0014,2023-10-01,30,20,7,4.94
EMP0425,2023-10-02,28,2,0,4.47
EMP0253,2023-10-03,15,18,0,9.06
EMP0316,2023-10-04,17,25,0,8.29
EMP0466,2023-10-05,36,13,9,4.36
EMP0449,2023-10-06,22,26,2,6.84
EMP0358,2023-10-07,43,11,7,7.2
EMP0399,2023-10-08,6,4,9,7.92
EMP0335,2023-10-09,25,15,2,4.28
EMP0293,2023-10-10,31,27,7,6.05
EMP0041,2023-10-11,39,27,0,6.95
EMP0009,2023-10-12,44,24,0,9.06
EMP0436,2023-10-13,23,22,1,5.42
EMP0312,2023-10-14,32,16,2,4.97
EMP0163,2023-10-15,29,29,8,4.43
EMP0053,2023-10-16,41,20,1,8.72
EMP0226,2023-10-17,26,26,5,7.63
EMP0224,2023-10-18,48,26,8,5.88
EMP0017,2023-10-19,22,17,7,9.56
EMP0211,2023-10-20,35,11,9,6.42
EMP0468,2023-10-21,2,25,1,8.33
EMP0152,2023-10-22,40,9,7,6.65
EMP0033,2023-10-23,14,6,0,6.25
EMP0256,2023-10-24,3,6,3,4.78
EMP0192,2023-10-25,33,20,3,6.51
EMP0306,2023-10-26,23,8,4,8.59
EMP0484,2023-10-27,29,6,0,5.79
EMP0097,2023-10-28,43,18,8,9.66
EMP0308,2023-10-29,2,15,0,8.13
EMP0433,2023-10-30,29,2,7,7.09
EMP0334,2023-10-31,33,29,1,8.99
EMP0493,2023-11-01,33,1,4,6.6
EMP0137,2023-11-02,38,2,2,9.98
EMP0098,2023-11-03,0,29,2,4.89
EMP0072,2023-11-04,39,26,2,6.09
EMP0091,2023-11-05,45,23,5,6.37
EMP0077,2023-11-06,11,6,4,9.0
EMP0378,2023-11-07,26,10,0,9.66
EMP0231,2023-11-08,27,14,1,7.73
EMP0392,2023-11-09,30,12,4,7.51
EMP0434,2023-11-10,23,12,4,8.69
EMP0219,2023-11-11,37,7,9,8.99
EMP0184,2023-11-12,44,18,0,6.92
EMP0214,2023-11-13,30,24,6,5.27
EMP0068,2023-11-14,14,27,7,4.16
EMP0010,2023-11-15,34,16,3,9.91
EMP0140,2023-11-16,9,20,9,6.43
EMP0258,2023-11-17,11,16,1,6.66
EMP0468,2023-11-18,25,2,4,8.36
EMP0230,2023-11-19,35,25,4,4.85
EMP0412,2023-11-20,34,23,6,8.15
EMP0478,2023-11-21,30,21,5,8.16
EMP0136,2023-11-22,7,5,8,4.98
EMP0182,2023-11-23,44,21,4,6.13
EMP0301,2023-11-24,27,7,7,9.37
EMP0127,2023-11-25,32,5,2,7.3
EMP0130,2023-11-26,35,5,1,7.91
EMP0077,2023-11-27,30,20,7,9.94
EMP0409,2023-11-28,12,6,0,6.97
EMP0056,2023-11-29,3,23,8,5.06
EMP0225,2023-11-30,16,6,1,5.75
EMP0084,2023-12-01,12,27,8,8.47
EMP0071,2023-12-02,22,13,9,4.77
EMP0201,2023-12-03,9,28,3,4.93
EMP0436,2023-12-04,15,18,1,7.83
EMP0272,2023-12-05,33,9,0,7.14
EMP0327,2023-12-06,37,20,4,6.23
EMP0003,2023-12-07,16,28,2,4.09
EMP0066,2023-12-08,29,28,8,8.37
EMP0479,2023-12-09,34,11,0,5.04
EMP0194,2023-12-10,48,16,8,5.01
EMP0341,2023-12-11,27,8,2,4.94
EMP0197,2023-12-12,40,21,5,8.16
EMP0283,2023-12-13,37,23,4,9.8
EMP0296,2023-12-14,34,24,9,8.78
EMP0256,2023-12-15,36,12,6,8.28
EMP0181,2023-12-16,1,7,8,5.67
EMP0359,2023-12-17,39,19,8,9.06
EMP0306,2023-12-18,24,2,7,7.87
EMP0079,2023-12-19,39,20,6,7.14
EMP0031,2023-12-20,39,6,2,5.88
EMP0058,2023-12-21,8,5,9,5.1
EMP0104,2023-12-22,13,26,9,7.03
EMP0122,2023-12-23,47,8,4,4.5
EMP0481,2023-12-24,8,29,5,4.9
EMP0485,2023-12-25,45,6,3,9.46
EMP0345,2023-12-26,17,14,8,9.72
EMP0141,2023-12-27,0,21,0,6.12
EMP0408,2023-12-28,18,13,5,5.86
EMP0315,2023-12-29,2,9,8,9.8
EMP0279,2023-12-30,24,4,0,5.54
EMP0138,2023-12-31,48,7,6,6.1
EMP0473,2024-01-01,41,26,7,7.65
EMP0219,2024-01-02,32,7,1,4.08
EMP0353,2024-01-03,33,1,0,7.29
EMP0354,2024-01-04,25,5,2,6.51
EMP0424,2024-01-05,25,23,1,7.93
EMP0330,2024-01-06,37,23,2,8.53
EMP0125,2024-01-07,34,11,1,6.95
EMP0137,2024-01-08,0,8,1,7.81
EMP0042,2024-01-09,35,21,9,6.91
EMP0126,2024-01-10,47,2,3,4.29
EMP0013,2024-01-11,34,29,9,4.0
EMP0411,2024-01-12,18,2,0,4.04
EMP0276,2024-01-13,37,23,0,5.53
EMP0443,2024-01-14,14,23,2,9.15
EMP0297,2024-01-15,24,19,2,9.95
EMP0148,2024-01-16,6,26,5,9.08
EMP0168,2024-01-17,36,8,0,6.78
EMP0189,2024-01-18,5,16,7,9.96
EMP0440,2024-01-19,42,22,1,9.03
EMP0022,2024-01-20,9,22,1,9.92
EMP0131,2024-01-21,32,0,3,8.52
EMP0279,2024-01-22,46,3,5,6.2
EMP0159,2024-01-23,5,2,7,6.92
EMP0076,2024-01-24,34,24,4,6.0
EMP0419,2024-01-25,17,17,2,7.12
EMP0030,2024-01-26,10,15,2,6.91
EMP0010,2024-01-27,8,27,2,8.81
EMP0002,2024-01-28,37,7,6,7.05
EMP0006,2024-01-29,49,17,6,6.89
EMP0088,2024-01-30,26,7,1,9.65
EMP0468,2024-01-31,30,22,2,8.32
EMP0191,2024-02-01,29,20,1,5.42
EMP0012,2024-02-02,12,11,7,9.24
EMP0028,2024-02-03,15,15,6,5.67
EMP0178,2024-02-04,13,21,8,6.79
EMP0288,2024-02-05,19,14,7,7.4
EMP0027,2024-02-06,36,16,6,4.94
EMP0169,2024-02-07,4,4,6,9.97
EMP0362,2024-02-08,36,20,9,8.69
EMP0187,2024-02-09,29,26,3,5.97
EMP0262,2024-02-10,8,11,2,5.45
EMP0387,2024-02-11,44,0,0,9.25
EMP0478,2024-02-12,21,0,6,5.26
EMP0030,2024-02-13,24,3,7,9.89
EMP0470,2024-02-14,20,4,2,8.88
EMP0289,2024-02-15,12,11,2,5.66
EMP0310,2024-02-16,0,22,4,5.39
EMP0399,2024-02-17,13,11,2,8.67
EMP0457,2024-02-18,8,22,3,4.28
EMP0081,2024-02-19,38,18,5,5.31
EMP0014,2024-02-20,4,9,1,5.45
EMP0365,2024-02-21,37,27,6,8.7
EMP0151,2024-02-22,7,11,3,7.12
EMP0325,2024-02-23,24,22,8,4.84
EMP0088,2024-02-24,0,28,8,6.9
EMP0009,2024-02-25,0,26,2,7.22
EMP0163,2024-02-26,46,7,0,6.06
EMP0083,2024-02-27,16,10,9,6.96
EMP0137,2024-02-28,48,11,5,7.51
EMP0098,2024-02-29,47,19,5,6.38
EMP0321,2024-03-01,5,7,7,8.01
EMP0253,2024-03-02,31,16,2,4.9
EMP0347,2024-03-03,9,22,9,7.07
EMP0057,2024-03-04,38,25,3,7.8
EMP0362,2024-03-05,32,9,5,9.15
EMP0459,2024-03-06,17,9,3,9.02
EMP0237,2024-03-07,28,23,1,8.84
EMP0327,2024-03-08,44,20,9,7.94
EMP0342,2024-03-09,24,19,0,9.37
EMP0160,2024-03-10,37,3,8,8.57
EMP0246,2024-03-11,8,17,2,8.99
EMP0420,2024-03-12,19,4,8,9.79
EMP0422,2024-03-13,14,14,6,6.07
EMP0229,2024-03-14,27,6,0,8.26
EMP0285,2024-03-15,9,10,9,5.37
EMP0471,2024-03-16,7,8,1,8.65
EMP0095,2024-03-17,34,24,1,7.47
EMP0235,2024-03-18,2,25,0,5.21
EMP0011,2024-03-19,7,20,2,9.05
EMP0319,2024-03-20,26,13,3,8.28
EMP0276,2024-03-21,45,15,5,9.61
EMP0225,2024-03-22,49,22,2,7.14
EMP0260,2024-03-23,38,19,0,6.44
EMP0392,2024-03-24,22,21,1,6.68
EMP0337,2024-03-25,6,2,5,9.23
EMP0409,2024-03-26,10,26,6,5.42
EMP0445,2024-03-27,33,3,3,6.01
EMP0298,2024-03-28,21,10,2,5.8
EMP0319,2024-03-29,41,0,3,7.83
EMP0032,2024-03-30,2,6,0,8.46
EMP0340,2024-03-31,47,13,0,4.45
EMP0102,2024-04-01,17,9,6,5.15
EMP0477,2024-04-02,39,25,0,6.43
EMP0023,2024-04-03,13,5,6,4.92
EMP0064,2024-04-04,46,9,3,4.4
EMP0499,2024-04-05,35,6,5,5.51
EMP0411,2024-04-06,37,27,1,7.51
EMP0094,2024-04-07,23,20,0,7.57
EMP0411,2024-04-08,31,3,7,7.44
EMP0019,2024-04-09,16,23,4,7.25
EMP0140,2024-04-10,0,22,7,9.02
EMP0371,2024-04-11,0,1,4,4.28
EMP0390,2024-04-12,41,13,3,4.88
EMP0034,2024-04-13,3,15,6,5.31
EMP0365,2024-04-14,25,8,7,8.4
EMP0291,2024-04-15,21,20,8,8.71
EMP0184,2024-04-16,1,24,1,8.5
EMP0369,2024-04-17,32,20,9,8.3
EMP0238,2024-04-18,12,9,7,4.54
EMP0155,2024-04-19,24,1,6,5.47
EMP0285,2024-04-20,37,15,1,5.09
EMP0386,2024-04-21,9,8,6,4.67
EMP0135,2024-04-22,49,9,5,5.86
EMP0495,2024-04-23,5,16,0,5.21
EMP0094,2024-04-24,26,19,4,5.77
EMP0121,2024-04-25,31,9,5,5.55
EMP0226,2024-04-26,10,27,6,5.39
EMP0407,2024-04-27,30,23,1,9.15
EMP0315,2024-04-28,38,10,5,7.87
EMP0324,2024-04-29,33,27,3,5.7
EMP0043,2024-04-30,8,3,3,4.29
EMP0222,2024-05-01,28,28,1,5.52
EMP0125,2024-05-02,3,1,5,8.68
EMP0228,2024-05-03,20,25,0,9.05
EMP0305,2024-05-04,6,9,0,5.27
EMP0383,2024-05-05,39,12,7,9.71
EMP0277,2024-05-06,27,26,6,7.31
EMP0002,2024-05-07,38,8,9,5.45
EMP0050,2024-05-08,15,26,6,7.55
EMP0131,2024-05-09,37,18,4,5.83
EMP0428,2024-05-10,22,18,9,6.18
EMP0076,2024-05-11,49,4,1,8.39
EMP0447,2024-05-12,13,7,4,4.95
EMP0057,2024-05-13,47,23,2,5.35
EMP0418,2024-05-14,4,25,0,8.76
